date,video_count,dict_sentiment_avg,sentimentr_score_avg,finbert_score_avg,ollama_score_avg,simple_sentiment_index,sentiment_std,total_views,total_likes,duration_weighted_sentiment,view_weighted_sentiment,like_weighted_sentiment,weighted_sentiment_index,simple_sentiment_7day,weighted_sentiment_7day
2023-01-06,4,-0.50314465408805,NA,NA,NA,-0.50314465408805,0,191036,692,-0.50314465408805,-0.50314465408805,-0.50314465408805,-0.50314465408805,-0.515811254559302,-0.515811254559302
2023-01-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-09,1,-0.518716577540107,NA,NA,NA,-0.518716577540107,NA,21812,145,-0.518716577540107,-0.518716577540107,-0.518716577540107,-0.518716577540107,NA,NA
2023-01-10,1,-0.514705882352941,NA,NA,NA,-0.514705882352941,NA,4996,38,-0.514705882352941,-0.514705882352941,-0.514705882352941,-0.514705882352941,NA,NA
2023-01-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-12,1,-0.465060240963855,NA,NA,NA,-0.465060240963855,NA,25928,137,-0.46506024096385495,-0.465060240963855,-0.46506024096385506,-0.465060240963855,NA,NA
2023-01-13,1,-0.452593917710197,NA,NA,NA,-0.452593917710197,NA,343890,864,-0.452593917710197,-0.452593917710197,-0.452593917710197,-0.4525939177101971,NA,NA
2023-01-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-17,1,-0.433070866141732,NA,NA,NA,-0.433070866141732,NA,280796,567,-0.433070866141732,-0.433070866141732,-0.433070866141732,-0.433070866141732,NA,NA
2023-01-18,1,-0.456475583864119,NA,NA,NA,-0.456475583864119,NA,28511,115,-0.456475583864119,-0.456475583864119,-0.456475583864119,-0.456475583864119,NA,NA
2023-01-19,1,-0.475836431226766,NA,NA,NA,-0.475836431226766,NA,31072,121,-0.47583643122676605,-0.47583643122676605,-0.475836431226766,-0.47583643122676605,NA,NA
2023-01-20,1,-0.508695652173913,NA,NA,NA,-0.508695652173913,NA,33320,170,-0.508695652173913,-0.508695652173913,-0.508695652173913,-0.508695652173913,NA,NA
2023-01-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-01-23,1,-0.439490445859873,NA,NA,NA,-0.439490445859873,NA,50088,205,-0.43949044585987307,-0.439490445859873,-0.439490445859873,-0.439490445859873,NA,NA
